"year","URL","lat","long","length"
"2017","S36645742",5.05639579450635,-75.5918792,60
"1997","S24795857",38.6966205925245,-120.0463166,65
"1988","S67329410",30.5957065856135,-103.933285239899,61
"2020","S88180323",48.717116596552,-116.4051045,85
"1998","S23964574",-0.00261779999708204,-78.7364388,52
"2022","S103978374",9.85471549012261,-83.8741301,51
"2017","S43461545",-24.0301589861366,-47.35145945,62
"2019","S62181222",-24.0301589861366,-47.35145945,52
"2020","S68131082",10.6893848144918,-85.08588175,62
"2021","S98436391",-28.0340216873411,-49.1502122,59
"2016","S28802866",9.68378399025721,-83.024999,64
"2016","S28821461",9.68378399025721,-83.024999,58
"2016","S28846028",9.68378399025721,-83.024999,53
"2016","S28870575",9.68378399025721,-83.024999,59
"2016","S31898604",18.8454362859287,-97.0653999,82
"2021","S88263297",14.879768949549,-87.94208565,54
"2022","S102783121",-0.391936230811843,-77.8162034375,53
"2022","S107099606",-0.391936230811843,-77.8162034375,52
"2019","S56820326",27.8179908872583,85.3127263,67
"2018","S109061078",-11.4216297889759,-76.3484573,69
"2021","S85420998",20.3381347858054,-105.3451591,81
"2018","S42140352",0.648243999275533,-77.067479,51
"2018","S42141236",0.648243999275533,-77.067479,68
"2018","S42141264",0.648243999275533,-77.067479,52
"2018","S44171431",0.648243999275533,-77.067479,62
"2019","S70081115",0.648243999275533,-77.067479,60
"2021","S83548030",10.84479694512,76.8502788505556,57
"2022","S105871006",10.84479694512,76.8502788505556,53
"1993","S35426163",-4.1163959954841,-79.172908,66
"2000","S21323497",-4.1163959954841,-79.172908,62
"2000","S37266520",-4.1163959954841,-79.172908,76
"2001","S25726414",-4.1163959954841,-79.172908,58
"2001","S79717668",-4.1163959954841,-79.172908,78
"2003","S39113717",-4.1163959954841,-79.172908,67
"2003","S39114075",-4.1163959954841,-79.172908,60
"2005","S41406792",-4.1163959954841,-79.172908,52
"2005","S41420710",-4.1163959954841,-79.172908,56
"2005","S69673977",-4.1163959954841,-79.172908,63
"2006","S37461897",-4.1163959954841,-79.172908,51
"2018","S104515792",-4.1163959954841,-79.172908,64
"1979","S74732537",36.1246787912148,-118.8232992,60
